2023_RGB_8cm_W13A_1: left=-20000.0, bottom=-3731000.0, right=-19000.0, top=-3730000.0
2023_RGB_8cm_W13A_2: left=-19000.0, bottom=-3731000.0, right=-18000.0, top=-3730000.0
2023_RGB_8cm_W13A_6: left=-20000.0, bottom=-3732000.0, right=-19000.0, top=-3731000.0
2023_RGB_8cm_W13A_7: left=-19000.0, bottom=-3732000.0, right=-18000.0, top=-3731000.0
2023_RGB_8cm_W13A_9: left=-17000.0, bottom=-3732000.0, right=-16000.0, top=-3731000.0
2023_RGB_8cm_W13A_11: left=-20000.0, bottom=-3733000.0, right=-19000.0, top=-3732000.0
2023_RGB_8cm_W13A_12: left=-19000.0, bottom=-3733000.0, right=-18000.0, top=-3732000.0
2023_RGB_8cm_W13A_13: left=-18000.0, bottom=-3733000.0, right=-17000.0, top=-3732000.0
2023_RGB_8cm_W13A_14: left=-17000.0, bottom=-3733000.0, right=-16000.0, top=-3732000.0
2023_RGB_8cm_W13A_16: left=-20000.0, bottom=-3734000.0, right=-19000.0, top=-3733000.0
2023_RGB_8cm_W13A_17: left=-19000.0, bottom=-3734000.0, right=-18000.0, top=-3733000.0
2023_RGB_8cm_W13A_18: left=-18000.0, bottom=-3734000.0, right=-17000.0, top=-3733000.0
2023_RGB_8cm_W13A_19: left=-17000.0, bottom=-3734000.0, right=-16000.0, top=-3733000.0
2023_RGB_8cm_W13A_20: left=-16000.0, bottom=-3734000.0, right=-15000.0, top=-3733000.0
2023_RGB_8cm_W13A_21: left=-20000.0, bottom=-3735000.0, right=-19000.0, top=-3734000.0
2023_RGB_8cm_W13A_22: left=-19000.0, bottom=-3735000.0, right=-18000.0, top=-3734000.0
2023_RGB_8cm_W13A_23: left=-18000.0, bottom=-3735000.0, right=-17000.0, top=-3734000.0
2023_RGB_8cm_W13A_24: left=-17000.0, bottom=-3735000.0, right=-16000.0, top=-3734000.0
2023_RGB_8cm_W13A_25: left=-16000.0, bottom=-3735000.0, right=-15000.0, top=-3734000.0
2023_RGB_8cm_W13C_1: left=-20000.0, bottom=-3736000.0, right=-19000.0, top=-3735000.0
2023_RGB_8cm_W13C_2: left=-19000.0, bottom=-3736000.0, right=-18000.0, top=-3735000.0
2023_RGB_8cm_W13C_3: left=-18000.0, bottom=-3736000.0, right=-17000.0, top=-3735000.0
2023_RGB_8cm_W13C_6: left=-20000.0, bottom=-3737000.0, right=-19000.0, top=-3736000.0
2023_RGB_8cm_W13C_7: left=-19000.0, bottom=-3737000.0, right=-18000.0, top=-3736000.0
2023_RGB_8cm_W13C_8: left=-18000.0, bottom=-3737000.0, right=-17000.0, top=-3736000.0
2023_RGB_8cm_W13C_11: left=-20000.0, bottom=-3738000.0, right=-19000.0, top=-3737000.0
2023_RGB_8cm_W13C_12: left=-19000.0, bottom=-3738000.0, right=-18000.0, top=-3737000.0
